# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon151W	-10:04	-	lon151W

# Solar Time by degree of longitude: 150 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon150W	-10:00	-	lon150W

# Solar Time by degree of longitude: 149 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon149W	-9:56	-	lon149W

# Solar Time by degree of longitude: 148 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon148W	-9:52	-	lon148W

# Solar Time by degree of longitude: 147 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon147W	-9:48	-	lon147W

# Solar Time by degree of longitude: 146 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon146W	-9:44	-	lon146W

# Solar Time by degree of longitude: 145 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon145W	-9:40	-	lon145W

# Solar Time by degree of longitude: 144 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon144W	-9:36	-	lon144W

# Solar Time by degree of longitude: 143 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon143W	-9:32	-	lon143W

# Solar Time by degree of longitude: 142 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon142W	-9:28	-	lon142W

# Solar Time by degree of longitude: 141 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon141W	-9:24	-	lon141W

# Solar Time by degree of longitude: 140 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon140W	-9:20	-	lon140W

# Solar Time by degree of longitude: 139 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon139W	-9:16	-	lon139W

# Solar Time by degree of longitude: 138 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon138W	-9:12	-	lon138W

# Solar Time by degree of longitude: 137 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon137W	-9:08	-	lon137W

# Solar Time by degree of longitude: 136 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon136W	-9:04	-	lon136W

# Solar Time by degree of longitude: 135 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon135W	-9:00	-	lon135W

# Solar Time by degree of longitude: 134 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon134W	-8:56	-	lon134W

# Solar Time by degree of longitude: 133 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon133W	-8:52	-	lon133W

# Solar Time by degree of longitude: 132 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon132W	-8:48	-	lon132W

# Solar Time by degree of longitude: 131 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon131W	-8:44	-	lon131W

# Solar Time by degree of longitude: 130 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon130W	-8:40	-	lon130W

# Solar Time by degree of longitude: 129 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon129W	-8:36	-	lon129W

# Solar Time by degree of longitude: 128 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon128W	-8:32	-	lon128W

# Solar Time by degree of longitude: 127 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon127W	-8:28	-	lon127W

# Solar Time by degree of longitude: 126 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon126W	-8:24	-	lon126W

# Solar Time by degree of longitude: 125 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon125W	-8:20	-	lon125W

# Solar Time by degree of longitude: 124 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon124W	-8:16	-	lon124W

# Solar Time by degree of longitude: 123 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon123W	-8:12	-	lon123W

# Solar Time by degree of longitude: 122 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon122W	-8:08	-	lon122W

# Solar Time by degree of longitude: 121 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon121W	-8:04	-	lon121W

# Solar Time by degree of longitude: 120 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon120W	-8:00	-	lon120W

# Solar Time by degree of longitude: 119 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon119W	-7:56	-	lon119W

# Solar Time by degree of longitude: 118 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon118W	-7:52	-	lon118W

# Solar Time by degree of longitude: 117 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon117W	-7:48	-	lon117W

# Solar Time by degree of longitude: 116 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon116W	-7:44	-	lon116W

# Solar Time by degree of longitude: 115 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon115W	-7:40	-	lon115W

# Solar Time by degree of longitude: 114 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon114W	-7:36	-	lon114W

# Solar Time by degree of longitude: 113 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon113W	-7:32	-	lon113W

# Solar Time by degree of longitude: 112 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon112W	-7:28	-	lon112W

# Solar Time by degree of longitude: 111 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon111W	-7:24	-	lon111W

# Solar Time by degree of longitude: 110 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon110W	-7:20	-	lon110W

# Solar Time by degree of longitude: 109 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon109W	-7:16	-	lon109W

# Solar Time by degree of longitude: 108 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon108W	-7:12	-	lon108W

# Solar Time by degree of longitude: 107 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon107W	-7:08	-	lon107W

# Solar Time by degree of longitude: 106 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon106W	-7:04	-	lon106W

# Solar Time by degree of longitude: 105 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon105W	-7:00	-	lon105W

# Solar Time by degree of longitude: 104 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon104W	-6:56	-	lon104W

# Solar Time by degree of longitude: 103 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon103W	-6:52	-	lon103W

# Solar Time by degree of longitude: 102 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon102W	-6:48	-	lon102W

# Solar Time by degree of longitude: 101 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon101W	-6:44	-	lon101W

# Solar Time by degree of longitude: 100 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon100W	-6:40	-	lon100W

# Solar Time by degree of longitude: 99 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon099W	-6:36	-	lon099W

# Solar Time by degree of longitude: 98 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon098W	-6:32	-	lon098W

# Solar Time by degree of longitude: 97 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon097W	-6:28	-	lon097W

# Solar Time by degree of longitude: 96 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon096W	-6:24	-	lon096W

# Solar Time by degree of longitude: 95 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon095W	-6:20	-	lon095W

